,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,predictions,Norm_Food
42,0.35063380281690143,0.5435483870967742,Thane West,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,79.0,27.7
43,0.35200704225352114,0.5456989247311828,Thane West,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,79.0,27.8
44,0.3908450704225352,0.6102150537634409,Thane West,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,80.0,31.3
45,0.36619718309859156,0.5725806451612904,Thane West,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,80.0,29.3
46,0.5809859154929577,0.7876344086021505,Thane West,3,0,1,1,1,0,1,0,0,0,0,0,1,0,1,80.0,46.5
47,0.4225352112676056,0.510752688172043,Thane West,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,75.5,31.9
48,0.33436619718309857,0.5913978494623656,Thane West,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,80.0,26.7
49,0.4753521126760563,0.6720430107526881,Thane West,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,80.0,38.0
50,0.3204225352112676,0.4946236559139785,Thane West,2,1,1,1,0,0,1,1,1,0,0,0,1,1,0,80.0,25.6
51,0.08577464788732395,0.30913978494623656,Thane West,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,80.0,6.9
52,0.5633802816901409,0.4838709677419355,Thane West,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,80.0,45.1
53,0.1901056338028169,0.48655913978494625,Thane West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,80.0,15.2
54,0.14785211267605633,0.33602150537634407,Thane West,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,80.0,11.8
55,0.1936619718309859,0.3763440860215054,Thane West,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,80.0,15.5
56,0.9612676056338029,0.6602150537634408,Thane West,3,1,1,1,1,0,0,1,1,0,1,1,0,1,1,80.0,76.9
57,0.40492957746478875,0.2532258064516129,Thane West,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,78.5,31.8
58,0.3380281690140845,0.510752688172043,Thane West,2,0,1,1,1,0,1,0,1,0,0,0,0,0,1,80.0,27.0
59,0.3380281690140845,0.4838709677419355,Thane West,2,0,1,1,1,0,1,0,1,0,0,0,0,0,1,80.0,27.0
60,0.49295774647887325,0.5645161290322581,Thane West,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,75.5,37.2
61,0.49295774647887325,0.5645161290322581,Thane West,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,75.0,37.0
62,0.44366197183098594,0.45698924731182794,Thane West,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,77.0,34.2
63,0.22883799295774648,0.5080645161290323,Thane West,2,0,1,1,1,0,0,1,1,1,1,1,0,1,1,80.0,18.3
64,0.5845070422535211,0.5274193548387097,Thane West,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,79.5,46.5
65,0.545774647887324,0.49193548387096775,Thane West,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,80.0,43.7
66,0.5246478873239436,0.4747311827956989,Thane West,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,79.5,41.7
67,0.5211267605633803,0.47258064516129034,Thane West,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,80.0,41.7
68,0.5528169014084507,0.4989247311827957,Thane West,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,80.0,44.2
69,0.545774647887324,0.49408602150537634,Thane West,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,80.0,43.7
70,0.4753521126760563,0.43010752688172044,Thane West,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,77.0,36.6
71,0.704225352112676,0.5440860215053763,Thane West,3,1,0,1,0,0,0,1,0,0,1,1,0,1,0,77.8,54.8
72,0.45422535211267606,0.4118279569892473,Thane West,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,76.5,34.7
73,0.6267605633802817,0.6720430107526881,Thane West,3,1,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,50.1
74,0.23591549295774647,0.3602150537634409,Thane West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,18.9
75,0.29577464788732394,0.6483870967741936,Thane West,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,23.7
76,0.4507042253521127,0.967741935483871,Thane West,3,1,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,36.1
77,0.25704225352112675,0.3951612903225806,Thane West,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,80.0,20.6
78,0.24647887323943662,0.2903225806451613,Thane West,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,80.0,19.7
79,0.25704225352112675,0.3064516129032258,Thane West,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,80.0,20.6
80,0.545774647887324,0.6989247311827957,Thane West,3,0,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,43.7
81,0.3418661971830986,0.5494623655913978,Thane West,2,0,1,1,0,0,0,1,0,1,0,0,1,0,0,80.0,27.3
82,0.3485915492957746,0.44408602150537635,Thane West,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,78.0,27.2
