2021-06-06 03:00:01,b'\xf0\x9f\xa7\x81#Bake: Malteaser Tiffin by Annemarie (SuperMadcow) - https://t.co/T3NaT6Embe\n\n#crafter #bake #baking #bakingrecipe\xe2\x80\xa6 https://t.co/YRZ6R3r1tA',b'cutoutandkeep',"b'Edinburgh, UK'"
2021-06-04 03:54:27,b'Must read https://t.co/uG7g1HRA4C\n#tiffin @startup #startups #startupideas',b'worldrecipeblog',"b'BTM Layout, Bengaluru South'"
2021-06-02 11:49:00,"b""Love a fruit and nut combo. If you do too you'll enjoy our deliciously chocolatey fruit and nut tiffin - it's vegan\xe2\x80\xa6 https://t.co/W7Fz38GmFt""",b'CornishSconeCo',"b'Cornwall, England'"
2021-06-02 03:35:04,b'ONLINE TIFFIN SERVICE \nTIFFIN @90 only \nGUJARATI &amp; PUNJABI \nCall for Delicious food -7898759479\n\nINDORIAN WOMEN MIS\xe2\x80\xa6 https://t.co/1xb6y3WSji',b'INDORIANWOMENMI',b''
2021-06-01 19:18:13,b'Congratulations Aleasia on your new home! Thank you for trusting me through the process. It\xe2\x80\x99s been a pleasure helpi\xe2\x80\xa6 https://t.co/ZvvSv8ZCaE',b'KurtHartKW',"b'North Liberty, IA'"
2021-06-01 00:35:40,"b""We're hiring! Read about our latest job opening here: Restaurant Manager - Tiffin, OH - GL -\xe2\x80\xa6 https://t.co/UnYSB89mZV""",b'PandaCareers',"b'Rosemead, CA'"
2021-05-31 18:07:06,"b""If you're looking for work in #Tiffin, OH, check out this #Transportation job via the link in our bio: Parts Delivery at O'Reilly Automotive""",b'tmj_tol_transp',"b'Toledo, OH'"
2021-05-31 15:48:17,b'Homely Vegeterian Meals home delivered in #Mulund. #Upma #Tiffin #Lunch #Momos #Pakoda #Kadhi #Jeera #Rice\xe2\x80\xa6 https://t.co/6OEiYqLKUb',b'mytiffinz',"b'Mulund West, Mumbai'"
2021-05-31 13:45:40,b'Are you a kheer lover ? \nEven if you are not at home and wish to have that finger licking yummy kheer made by your\xe2\x80\xa6 https://t.co/ZZ3OHo9aLJ',b'mapstreak',"b'New Delhi, India'"
2021-05-30 09:32:15,"b""Wouldn't you like to celebrate the end of Lockdown in Delhi? The best method of celebration is to enjoy a delicious\xe2\x80\xa6 https://t.co/pShYAe2fiy""",b'RadhikaTiffin',b'chattarpur'
2021-05-30 07:09:54,b'#DOD: for a great fall! #POD: debut for the Moss. #outside #teas. #gingerbread #hockeyplayers sandwiches #tiffin. T\xe2\x80\xa6 https://t.co/QWTnuEwS7r',b'MossPark_Hockey',b'Manchester'
2021-05-29 16:41:42,b'Free tiffin available at Raipur(Chattisgarh):\n6263681180\n\nverified 9.35pm 29/05\n#Raipur \n#Tiffin \n#COVID19India\xe2\x80\xa6 https://t.co/CADzpYrzbk',b'network_covid',b'India'
2021-05-29 16:18:25,"b'Excited to share the latest addition to my #etsy shop: Kings Crown, Tiffin, Francisian, Ruby Stemware, Juice Glass,\xe2\x80\xa6 https://t.co/nZ9r7Y8j9Q'",b'Stephen40272927',b''
2021-06-06 16:20:25,b'@Cute_Aditi2 @Vipin2217 @iam_yukti @gunjanlove @BhumiMishra9 @Patel21264365 @Im_Jaanu_ @PriyankaLove143\xe2\x80\xa6 https://t.co/MjJ8c1BDg0',b'AdityaR80201152',b''
2021-06-06 16:20:25,"b""@LouiseWalton78 @TheoPaphitis Good luck Louise from Selena's Chest \xf0\x9f\x92\x9c""",b'SelenasShop',"b'Edinburgh, Scotland'"
2021-06-06 16:20:25,b'@CamberleyMagpi1 @jamesbrown_1989 @HarryVickersBa1 You do realise Myles scored 2 goals and you ain\xe2\x80\x99t good enough to\xe2\x80\xa6 https://t.co/AZ0ROTWnFb',b'lukejon65161288',b''
2021-06-06 16:20:25,b'Good Morning on twitter :) @styaseen',b'LuciferKhan75',b''
2021-06-06 16:20:25,"b""@FreeTheGingers @BlushingMommy @baddanadanabad I think one's that don't have opinions will let you go outside looki\xe2\x80\xa6 https://t.co/IfURefAYR9""",b'_joelfer_',b''
2021-06-06 16:20:25,"b""@ndaxxmi Hahajahaj I said the existence of this video is already delusional, it's so funny I love it\n(i'm not good\xe2\x80\xa6 https://t.co/Txws326S9r""",b'closertothxsun',"b'Buenos Aires, Argentina'"
2021-06-06 16:20:25,b'good https://t.co/YChLGAb2f4',b'TaylorMartha8',b''
2021-06-06 16:20:25,"b'@Vishvesh03\n bhai 1,5,15 minutes charts good for index trading in option? Which indicator you use most? #askVish'",b'MalayBorah',"b'Assam, India'"
2021-06-06 16:20:25,b'@OrangeCatToken @elonmusk This is good! project i sure u have bright future ahead. . Thanks u all team mates ...and\xe2\x80\xa6 https://t.co/AYf1CDHp13',b'Gagan68743854',b''
2021-06-06 16:20:24,b'@Marquise_35KD All fair questions. Let\xe2\x80\x99s hope the D isn\xe2\x80\x99t good because teams are going to have to put up some serio\xe2\x80\xa6 https://t.co/315s5iLYgd',b'ssfisher87',b''
2021-06-06 16:20:24,"b'@FlagGirlUSA @patriottakes So basically she is either quite stupid, or is making fake letters/obviously odd letters\xe2\x80\xa6 https://t.co/snwtdHLHQc'",b'sentinelkaos200',b''
2021-06-06 16:20:24,b'@qopter_ this is so pretty danny your style is so good',b'zonewilbvr',b'anyprns + neos 17'
2021-06-06 16:20:24,"b""@georgelamps 2 yrs is too soon na...Mendy is 29 and GKs has longetivity..unless you're predicting a kepa dip in for\xe2\x80\xa6 https://t.co/Hwu5ycPcGe""",b'Shmart_',b'as the spirit leads'
